صفحه,عنوان شغل,نام شرکت,مکان
1,برنامه‌نویس پایتون (Python-دورکاری),استارت آپ پل دیزاینرز  | Poldesigners,تهران
1,توسعه دهنده پایتون (Python Software Engineer-AI Team),رهند هوشمند نوین داده | Rahand Hoshmand Novin Dadeh,تهران
1,برنامه‌نویس پایتون (Python/Django-اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان
1,برنامه‌نویس Python,همیان | Hamyan,تهران
1,طراح صنعتی(فلاسک-مشهد-دورکاری),استودیو کوروش | Cyrus Studio,مشهد
1,برنامه‌نویس ارشد پایتون,نت‌بان شریف | NetBaan Sharif,تهران
1,توسعه‌دهنده بک‌اند (Python-Django-کرج),میزگرد | Mizegerd,کرج
1,Python Developer,گروه مالی هامرز | Hummers Group,تهران
1,توسعه‌دهنده جاوا (Java Developer),کارنو | Karno,تهران
1,برنامه‌نویس (Python / Django),فناوری اطلاعات رسپینا رادین | Respina Radyn IT Co,تهران
1,برنامه‌نویس ارشد پایتون (دورکاری),پایا | RCP,تهران
1,توسعه‌دهنده وردپرس (WordPress Developer-دورکاری),استارت آپ پل دیزاینرز  | Poldesigners,تهران
1,توسعه‌دهنده بک‌اند (Java-Backend Developer),دانش رفاه پردیس | Danesh Refah Pardis,تهران
1,برنامه‌نویس Back-End) Python),پارس پویش فن آور | Pars Pooyesh Fanavar,تهران
1,توسعه‌دهنده NET.,داتکس | Datx Soft,تهران
1,توسعه‌دهنده Flutter,همراه نیاز ایرانیان | Hamrah Niaz Iranian,تهران
1,توسعه‌دهنده جاوا,ایلیا ابرپرداز | ILIYA,تهران
1,توسعه‌دهنده Unity,میکی استودیو | micki studio,تهران
1,توسعه‌دهنده وردپرس,موسسه آلفا | Alphaschool,تهران
1,توسعه‌دهنده Flutter,رسادنت | Rasadent,تهران
2,توسعه‌دهنده وردپرس (WordPress Developer-دورکاری-قائن),آذرمهر پردازش قهستان | Azarmehr pardazesh,خراسان
2,Full-Stack Python Developer,سدرا پرو | Sedrapro,تهران
2,توسعه دهنده ارشد وردپرس,گالری ایران زمین | Iranzamin Gallery,تهران
2,توسعه‌دهنده کسب و کار,تدبیر انرژی انتخاب | Tadbir Energy,اصفهان
2,توسعه‌دهنده ProcessMaker 4,رسا سامانه افق | Rasa Samane Ofogh,تهران
2,توسعه‌دهنده کسب و کار,نترو | Netro,تهران
2,توسعه‌دهنده وردپرس (Wordpress),تهران سایت  | Tehran Site,تهران
2,توسعه‌دهنده Back-End,هلدينگ سرور ايمن پارس | Server Imen Pars,تهران
2,توسعه‌دهنده Unity (مشهد),منشور فناوری | IFTPRISM,مشهد
2,توسعه‌دهنده NET. (کرج),نرم افزاری امن پرداز | Amn Pardaz,کرج
2,توسعه‌دهنده بک‌اند (Golang),ویستا مدیا | Vista Media,تهران
2,توسعه دهنده C++/QT,دانش بنیان فناوری های پیشرو مقداد | Meghdad,تهران
2,توسعه‌دهنده Back-End,رستاکام سامانه‌های هوشمند نوین | Rastacom,تهران
2,برنامه‌نویس Back-end (آقا-Python/Django),مبین صدرا | Mobin Sadra,تهران
2,(Senior Back-End Developer (Python,نبکا | Nebka,تهران
2,(Senior Back-End Developer (Python,یاپل کام | Yaplle Com,تهران
2,(Senior Back-End Developer (Python,گل گیفت | GOLGift,تهران
2,(Senior Python Developer (Machine Learning,سدرا پرو | Sedrapro,تهران
2,برنامه نویس وب (Backend Developer),سامانه های هوشمند سپهر شریف | Sepehr Sharif Intelligent system Co,تهران
2,توسعه‌دهنده ارشد Oracle APEX,آریا اندیش سورنا | Surena,تهران
3,توسعه‌دهنده و طراح وردپرس (Wordpress),پارمیس | Parmis IT,تهران
3,توسعه دهنده وب (فول استک),صندوق پژوهش فناوری توسعه فناوری ایرانیان | Iranian Technology Fund,تهران
3,توسعه‌‌دهنده نرم افزار اندروید,نوآوران بوم گستر امید ( امیدبوم ) | Omid Boom,تهران
3,توسعه دهنده (Android (mid-level,مبین تدبیر شریف | Mobin Tadbir Sharif,تهران
3,توسعه‌دهنده Mid-Level) Golang),شایان پرداز | Shayan Pardaz,تهران
3,توسعه‌دهنده (Front-End (React,کارنو | Karno,تهران
3,توسعه‌دهنده کسب و کار(شیراز),بانک انرژی | Bank Energy,شیراز
3,توسعه‌دهنده ارشد فرانت‌اند(Senior Front-End Developer-کرج),درّین اندیشه توسعه آریا | Dorrin Arya,کرج
3,(بابلسر-Senior Back-End Developer (Python,داده‌نگار اقتصاد | DadeNegar Eghtesad,مازندران
3,برنامه‌نویس بک‌اند (Backend Developer-شیراز),یکتا داده نگار آرین (آریان سافت) | Ariyan Soft,شیراز
3,برنامه‌نویس توسعه وردپرس (WordPress Developer),همایش گستر ایده بارسا | Hamayesh Gostar Eide Barsa,تهران
3,کارشناس توسعه‌دهنده Microsoft Dynamics 365,پیشگامان فناوری اطلاعات هامون | Haumoun IT Pioneers,تهران
3,توسعه‌دهنده کسب و کار (آقا-مشهد),نرم افزاری آموت | Amoot Software,مشهد
3,توسعه دهنده ارشد وبسایت (وردپرس-خانم),هلدینگ مهاجر  | Holding Mohajer,تهران
3,توسعه‌دهنده و پشتیبان فنی سایت (وردپرس),تور تکنو | Tortechno,تهران
3,توسعه‌دهنده ارشد AI-Native (دورکاری),گپلی | Gaply,تهران
3,توسعه‌دهنده (React/Next.js) Front-End,فناوران متحد | United Technologists,تهران
3,توسعه‌دهنده Frontend (مسلط به React.js- Next.js),هلدينگ سرور ايمن پارس | Server Imen Pars,تهران
3,توسعه‌دهنده React/Next) Front-End),باتری باز | BatteryBuzz,تهران
3,توسعه دهنده C# .Net (آقا-دورکاری),پرتو | Parto,تهران
